lga,state,event_name,agrn,cat_a,cat_b,cat_c,cat_d,severity,start_date,year
Albury,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Armidale,New South Wales,Armidale bushfire: 20 October 2012,507,0,0,0,0,unknown,2012-10-20,2012
Armidale,New South Wales,Northern NSW Bushfires: 11 February 2019 onwards,843,1,1,0,0,A/B,2019-02-11,2019
Armidale,New South Wales,Armidale (Melrose) Bushfire: 1 December 2018 onwards,847,1,1,0,0,A/B,2018-12-01,2018
Armidale,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Armidale,New South Wales,AGRN 1071 - North Eastern NSW Bushfires (21 August 2023 onwards),1071,0,1,0,0,A/B,2023-08-21,2023
Armidale,New South Wales,AGRN 1112 - Armidale NSW Bushfires (9 December - 23 December 2023),1112,0,1,0,0,A/B,2023-12-09,2023
Ballina,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Bathurst,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Bathurst,New South Wales,Central Ranges bushfires: from 19 January 2014,612,0,0,0,0,unknown,2014-01-19,2014
Bathurst,New South Wales,Bathurst Bushfire: from 14 January 2017,749,0,0,0,0,unknown,2017-01-14,2017
Bathurst,New South Wales,NSW Central West Bushfires: 9 February 2018 onwards,804,1,1,0,0,A/B,2018-02-09,2018
Bathurst,New South Wales,AGRN 1052 - NSW Bushfires (6 March 2023),1052,1,1,0,0,A/B,2023-03-06,2023
Bathurst,New South Wales,AGRN 1193 - Bathurst and Lithgow NSW Bushfire (23 December 2024 - 11 January 2025),1193,0,1,0,0,A/B,2024-12-23,2024
Bega Valley,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Bega Valley,New South Wales,Bega Bushfire: 18 March 2018 onward,798,1,1,0,0,A/B,2018-03-18,2018
Bega Valley,New South Wales,Bega Valley and Eurobodalla bushfires: 15 August 2018 onwards,820,1,1,0,0,A/B,2018-08-15,2018
Bega Valley,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Bega Valley,New South Wales,AGRN 1070 - Bega Valley NSW Bushfires (3 October 2023 onwards),1070,1,1,0,0,A/B,2023-10-03,2023
Bega Valley,New South Wales,AGRN 1263 - Eurobodalla and Bega Valley NSW Bushfire (from 7 January 2026),1263,0,1,0,0,A/B,2026-01-07,2026
Bellingen,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Berrigan,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Blacktown,New South Wales,Western Sydney bushfires: from 10 September 2013,614,0,0,0,0,unknown,2013-09-10,2013
Bland,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Bland,New South Wales,Bland Shire Bushfire: from 30 November 2016,748,0,0,0,0,unknown,2016-11-30,2016
Blayney,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Blayney,New South Wales,AGRN 1052 - NSW Bushfires (6 March 2023),1052,0,1,0,0,A/B,2023-03-06,2023
Blayney,New South Wales,AGRN 1055 - Western and North West NSW Bushfires (17 February 2023),1055,1,1,0,0,A/B,2023-02-17,2023
Blue Mountains,New South Wales,New South Wales bushfire: 20 to 23 September 2011,477,0,0,0,0,unknown,2011-09-20,2011
Blue Mountains,New South Wales,New South Wales bushfire: 24 to 25 October 2011,499,0,0,0,0,unknown,2011-10-24,2011
Blue Mountains,New South Wales,Eastern bushfires: from 13 October 2013,587,0,0,0,0,unknown,2013-10-13,2013
Blue Mountains,New South Wales,Eastern bushfires: from 16 October 2013,588,0,0,0,0,unknown,2013-10-16,2013
Blue Mountains,New South Wales,Western Sydney bushfires: from 10 September 2013,614,0,0,0,0,unknown,2013-09-10,2013
Blue Mountains,New South Wales,Blue Mountains bushfire: 1 November 2014,670,0,0,0,0,unknown,2014-11-01,2014
Blue Mountains,New South Wales,Blue Mountains bushfire: 14 November 2014,671,0,0,0,0,unknown,2014-11-14,2014
Blue Mountains,New South Wales,Blue Mountains Bushfire: 2 August 2015,706,0,0,0,0,unknown,2015-08-02,2015
Blue Mountains,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Bogan,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Bogan,New South Wales,AGRN 1052 - NSW Bushfires (6 March 2023),1052,1,1,0,0,A/B,2023-03-06,2023
Bourke,New South Wales,Bourke bushfire: 20 to 27 October 2012,505,0,0,0,0,unknown,2012-10-20,2012
Bourke,New South Wales,Bushfire: 13 to 18 December 2012,572,0,0,0,0,unknown,2012-12-13,2012
Brewarrina,New South Wales,Bourke bushfire: 20 to 27 October 2012,505,0,0,0,0,unknown,2012-10-20,2012
Brewarrina,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Brewarrina,New South Wales,Bushfire: 13 to 18 December 2012,572,0,0,0,0,unknown,2012-12-13,2012
Brewarrina,New South Wales,AGRN 1052 - NSW Bushfires (6 March 2023),1052,1,1,0,0,A/B,2023-03-06,2023
Byron,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Byron,New South Wales,AGRN 1135 - Byron NSW Bushfire (14 October - 5 November 2023),1135,0,1,0,0,A/B,2023-10-14,2023
Cabonne,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Cabonne,New South Wales,NSW Central West Bushfires: 9 February 2018 onwards,804,1,1,0,0,A/B,2018-02-09,2018
Cabonne,New South Wales,NSW - Parkes and Cabonne (Curembenya) Bushfires(5 January 2019 onwards),853,1,1,0,0,A/B,2019-01-05,2019
Cabonne,New South Wales,AGRN 1052 - NSW Bushfires (6 March 2023),1052,0,1,0,0,A/B,2023-03-06,2023
Cabonne,New South Wales,AGRN 1055 - Western and North West NSW Bushfires (17 February 2023),1055,1,1,0,0,A/B,2023-02-17,2023
Carrathool,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Carrathool,New South Wales,AGRN 1282 - Carrathool Shire Bushfire (6 - 18 February 2026),1282,0,1,0,0,A/B,2026-02-06,2026
Central Coast,New South Wales,Eastern bushfires: from 13 October 2013,587,0,0,0,0,unknown,2013-10-13,2013
Central Coast,New South Wales,Eastern bushfires: from 16 October 2013,588,0,0,0,0,unknown,2013-10-16,2013
Central Coast,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,2019-08-31,2019
Central Coast,New South Wales,AGRN 1229 - NSW Central Coast Bushfire (from 6 December 2025),1229,1,1,0,0,A/B,2025-12-06,2025
Central Darling,New South Wales,Bourke bushfire: 20 to 27 October 2012,505,0,0,0,0,unknown,2012-10-20,2012
Central Darling,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Central Darling,New South Wales,Bushfire: 13 to 18 December 2012,572,0,0,0,0,unknown,2012-12-13,2012
