year,state,events,cumulative
2009,Australian Capital Territory,0,0
2010,Australian Capital Territory,0,0
2011,Australian Capital Territory,0,0
2012,Australian Capital Territory,0,0
2013,Australian Capital Territory,0,0
2014,Australian Capital Territory,0,0
2015,Australian Capital Territory,0,0
2016,Australian Capital Territory,0,0
2017,Australian Capital Territory,0,0
2018,Australian Capital Territory,1,1
2019,Australian Capital Territory,1,2
2020,Australian Capital Territory,0,2
2021,Australian Capital Territory,0,2
2022,Australian Capital Territory,0,2
2023,Australian Capital Territory,0,2
2024,Australian Capital Territory,0,2
2025,Australian Capital Territory,0,2
2026,Australian Capital Territory,0,2
2009,New South Wales,0,0
2010,New South Wales,0,0
2011,New South Wales,2,2
2012,New South Wales,44,46
2013,New South Wales,105,151
2014,New South Wales,23,174
2015,New South Wales,4,178
2016,New South Wales,10,188
2017,New South Wales,30,218
2018,New South Wales,38,256
2019,New South Wales,71,327
2020,New South Wales,0,327
2021,New South Wales,0,327
2022,New South Wales,0,327
2023,New South Wales,66,393
2024,New South Wales,11,404
2025,New South Wales,27,431
2026,New South Wales,5,436
2009,Northern Territory,0,0
2010,Northern Territory,0,0
2011,Northern Territory,4,4
2012,Northern Territory,0,4
2013,Northern Territory,0,4
2014,Northern Territory,0,4
2015,Northern Territory,0,4
2016,Northern Territory,0,4
2017,Northern Territory,0,4
2018,Northern Territory,0,4
2019,Northern Territory,0,4
2020,Northern Territory,13,17
2021,Northern Territory,0,17
2022,Northern Territory,0,17
2023,Northern Territory,6,23
2024,Northern Territory,0,23
2025,Northern Territory,0,23
2026,Northern Territory,0,23
2009,Queensland,0,0
2010,Queensland,0,0
2011,Queensland,42,42
2012,Queensland,3,45
2013,Queensland,1,46
2014,Queensland,0,46
2015,Queensland,0,46
2016,Queensland,0,46
2017,Queensland,0,46
2018,Queensland,12,58
2019,Queensland,24,82
2020,Queensland,3,85
2021,Queensland,0,85
2022,Queensland,0,85
2023,Queensland,26,111
2024,Queensland,13,124
2025,Queensland,26,150
2026,Queensland,0,150
2009,South Australia,0,0
2010,South Australia,0,0
2011,South Australia,0,0
2012,South Australia,2,2
2013,South Australia,2,4
2014,South Australia,13,17
2015,South Australia,9,26
2016,South Australia,0,26
2017,South Australia,0,26
2018,South Australia,0,26
2019,South Australia,11,37
2020,South Australia,0,37
2021,South Australia,0,37
2022,South Australia,0,37
2023,South Australia,0,37
2024,South Australia,0,37
2025,South Australia,0,37
2026,South Australia,0,37
2009,Tasmania,0,0
2010,Tasmania,0,0
2011,Tasmania,0,0
2012,Tasmania,0,0
2013,Tasmania,8,8
2014,Tasmania,0,8
2015,Tasmania,0,8
2016,Tasmania,5,13
2017,Tasmania,1,14
2018,Tasmania,4,18
2019,Tasmania,5,23
2020,Tasmania,0,23
2021,Tasmania,0,23
2022,Tasmania,0,23
2023,Tasmania,0,23
2024,Tasmania,0,23
2025,Tasmania,11,34
2026,Tasmania,0,34
2009,Victoria,24,24
2010,Victoria,0,24
2011,Victoria,0,24
2012,Victoria,2,26
2013,Victoria,23,49
2014,Victoria,26,75
2015,Victoria,20,95
2016,Victoria,3,98
2017,Victoria,0,98
2018,Victoria,0,98
2019,Victoria,40,138
2020,Victoria,0,138
2021,Victoria,0,138
2022,Victoria,0,138
2023,Victoria,3,141
2024,Victoria,9,150
2025,Victoria,2,152
2026,Victoria,29,181
2009,Western Australia,3,3
2010,Western Australia,0,3
2011,Western Australia,6,9
2012,Western Australia,0,9
2013,Western Australia,2,11
2014,Western Australia,1,12
2015,Western Australia,3,15
2016,Western Australia,2,17
2017,Western Australia,0,17
2018,Western Australia,0,17
2019,Western Australia,1,18
2020,Western Australia,0,18
2021,Western Australia,2,20
2022,Western Australia,3,23
2023,Western Australia,2,25
2024,Western Australia,0,25
2025,Western Australia,0,25
2026,Western Australia,0,25
