agrn,event_short,year,lgas,state
322,Victorian bushfires: January to February 2009,2009,24,Victoria
365,Western Australia bushfires: 29 December 2009,2009,3,Western Australia
431,Western Australia bushfire: 5 February 2011,2011,5,Western Australia
458,Queensland bushfires: August to November 2011,2011,42,Queensland
459,Northern Territory-Central Australian bushfires: August,2011,4,Northern Territory
462,Western Australia-bushfire Augusta-Margaret River: 23 N,2011,1,Western Australia
477,New South Wales bushfire: 20 to 23 September 2011,2011,1,New South Wales
499,New South Wales bushfire: 24 to 25 October 2011,2011,1,New South Wales
504,Greater Taree and Port-Macquarie Hastings bushfire: 20 ,2012,2,New South Wales
505,Bourke bushfire: 20 to 27 October 2012,2012,5,New South Wales
507,Armidale bushfire: 20 October 2012,2012,3,New South Wales
518,Tulka bushfire: 11 November 2012,2012,1,South Australia
519,Coomunga bushfire: 20 November 2012,2012,1,South Australia
521,Clarence Valley bushfire: 18 to 30 August 2012,2012,1,New South Wales
523,Kempsey bushfire: 21 to 26 August 2012,2012,1,New South Wales
524,Clarence Valley bushfire: 6 to 17 September 2012,2012,3,New South Wales
525,Gloucester bushfire: 8 to 29 October 2012,2012,2,New South Wales
528,Bushfire: 7 to 13 October 2012,2012,4,New South Wales
529,Port Macquarie Hastings bushfire: 4 to 13 October 2012,2012,1,New South Wales
530,Singleton bushfire: 5 to 12 October 2012,2012,1,New South Wales
531,Kiama bushfire: 5 to 7 September 2012,2012,1,New South Wales
533,South West Queensland bushfire: December 2012,2012,1,Queensland
534,Far Northern Queensland bushfires: October to December ,2012,2,Queensland
537,Bushfires: January 2013,2013,6,Tasmania
538,State-wide bushfires: January 2013,2013,61,New South Wales
539,Western Victorian bushfires: January 2013,2013,2,Victoria
540,Eastern bushfires: 17 January 2013,2013,6,Victoria
541,Bundaleer bushfire: 16 January 2013,2013,1,South Australia
548,Molesworth bushfire: 6 February 2013,2013,2,Tasmania
550,Bushfires: February 2013,2013,10,Victoria
551,Hippo Track bushfire: October 2012,2012,1,Victoria
552,Casterton bushfire: November 2012,2012,1,Victoria
557,Bushfires: 27 March 2013,2013,4,Victoria
560,Clarence Valley bushfire: 20 October to 6 November 2012,2012,1,New South Wales
561,Singleton bushfire: 20 to 26 October 2012,2012,1,New South Wales
562,Cherryville bushfire: 9 to 12 May 2013,2013,1,South Australia
563,Gloucester bushfire: 17 to 21 December 2012,2012,1,New South Wales
564,Bushfire: 6 to 10 December 2012,2012,2,New South Wales
565,Great Lakes: 5 to 10 December 2012,2012,1,New South Wales
566,Bushfire: 18 to 23 December 2012,2012,1,New South Wales
567,Bushfire: 19 to 28 December 2012,2012,3,New South Wales
