state,year,activations
Australian Capital Territory,2009,0
Australian Capital Territory,2010,0
Australian Capital Territory,2011,0
Australian Capital Territory,2012,0
Australian Capital Territory,2013,0
Australian Capital Territory,2014,0
Australian Capital Territory,2015,0
Australian Capital Territory,2016,0
Australian Capital Territory,2017,0
Australian Capital Territory,2018,1
Australian Capital Territory,2019,1
Australian Capital Territory,2020,0
Australian Capital Territory,2021,0
Australian Capital Territory,2022,0
Australian Capital Territory,2023,0
Australian Capital Territory,2024,0
Australian Capital Territory,2025,0
Australian Capital Territory,2026,0
New South Wales,2009,0
New South Wales,2010,0
New South Wales,2011,2
New South Wales,2012,44
New South Wales,2013,105
New South Wales,2014,23
New South Wales,2015,4
New South Wales,2016,10
New South Wales,2017,30
New South Wales,2018,38
New South Wales,2019,71
New South Wales,2020,0
New South Wales,2021,0
New South Wales,2022,0
New South Wales,2023,66
New South Wales,2024,11
New South Wales,2025,27
New South Wales,2026,5
Northern Territory,2009,0
Northern Territory,2010,0
Northern Territory,2011,4
Northern Territory,2012,0
Northern Territory,2013,0
Northern Territory,2014,0
Northern Territory,2015,0
Northern Territory,2016,0
Northern Territory,2017,0
Northern Territory,2018,0
Northern Territory,2019,0
Northern Territory,2020,13
Northern Territory,2021,0
Northern Territory,2022,0
Northern Territory,2023,6
Northern Territory,2024,0
Northern Territory,2025,0
Northern Territory,2026,0
Queensland,2009,0
Queensland,2010,0
Queensland,2011,42
Queensland,2012,3
Queensland,2013,1
Queensland,2014,0
Queensland,2015,0
Queensland,2016,0
Queensland,2017,0
Queensland,2018,12
Queensland,2019,24
Queensland,2020,3
Queensland,2021,0
Queensland,2022,0
Queensland,2023,26
Queensland,2024,13
Queensland,2025,26
Queensland,2026,0
South Australia,2009,0
South Australia,2010,0
South Australia,2011,0
South Australia,2012,2
South Australia,2013,2
South Australia,2014,13
South Australia,2015,9
South Australia,2016,0
South Australia,2017,0
South Australia,2018,0
South Australia,2019,11
South Australia,2020,0
South Australia,2021,0
South Australia,2022,0
South Australia,2023,0
South Australia,2024,0
South Australia,2025,0
South Australia,2026,0
Tasmania,2009,0
Tasmania,2010,0
Tasmania,2011,0
Tasmania,2012,0
Tasmania,2013,8
Tasmania,2014,0
Tasmania,2015,0
Tasmania,2016,5
Tasmania,2017,1
Tasmania,2018,4
Tasmania,2019,5
Tasmania,2020,0
Tasmania,2021,0
Tasmania,2022,0
Tasmania,2023,0
Tasmania,2024,0
Tasmania,2025,11
Tasmania,2026,0
Victoria,2009,24
Victoria,2010,0
Victoria,2011,0
Victoria,2012,2
Victoria,2013,23
Victoria,2014,26
Victoria,2015,20
Victoria,2016,3
Victoria,2017,0
Victoria,2018,0
Victoria,2019,40
Victoria,2020,0
Victoria,2021,0
Victoria,2022,0
Victoria,2023,3
Victoria,2024,9
Victoria,2025,2
Victoria,2026,29
Western Australia,2009,3
Western Australia,2010,0
Western Australia,2011,6
Western Australia,2012,0
Western Australia,2013,2
Western Australia,2014,1
Western Australia,2015,3
Western Australia,2016,2
Western Australia,2017,0
Western Australia,2018,0
Western Australia,2019,1
Western Australia,2020,0
Western Australia,2021,2
Western Australia,2022,3
Western Australia,2023,2
Western Australia,2024,0
Western Australia,2025,0
Western Australia,2026,0
