agrn,event_short,year,lgas_affected
538,State-wide bushfires: January 2013,2013,61
871,NSW Bushfires (31 August 2019 onwards),2019,50
458,Queensland bushfires: August to November 2011,2011,42
1242,Victorian Bushfires (commencing 7 January 2026),2026,29
322,Victorian bushfires: January to February 2009,2009,24
909,Queensland Bushfires: September - December 2019,2019,23
882,Victorian Bushfires: 21 November 2019 onwards,2019,20
1078,Southern Queensland Bushfires: Sep-Nov 2023,2023,17
587,Eastern bushfires: from 13 October 2013,2013,15
846,South-East Victoria Bushfires: Feb 2019,2019,15
